step,action,reward,observation
97,{'prt_ooo_threshold': 38},0.7639889428617624,[0.001]
98,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
99,{'prt_ooo_threshold': 96},0.7105828314407662,[0.001]
100,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
101,{'prt_ooo_threshold': 33},0.7445920009057362,[0.0]
102,{'prt_ooo_threshold': 76},0.7007257352448962,[0.001]
103,{'prt_ooo_threshold': 60},0.7309646321192161,[0.001]
104,{'prt_ooo_threshold': 66},0.689889266542866,[0.001]
105,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
106,{'prt_ooo_threshold': 4},0.7446478541230904,[0.0]
107,{'prt_ooo_threshold': 64},0.7992814324043257,[0.0]
108,{'prt_ooo_threshold': 79},0.799292662589945,[0.0]
109,{'prt_ooo_threshold': 62},0.7304664193316052,[0.001]
110,{'prt_ooo_threshold': 96},0.7929668532686631,[0.0]
111,{'prt_ooo_threshold': 17},0.6867607829423665,[0.001]
112,{'prt_ooo_threshold': 59},0.6680025613396082,[0.001]
113,{'prt_ooo_threshold': 98},0.7105828314407662,[0.001]
114,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
115,{'prt_ooo_threshold': 18},0.7478508283329082,[0.001]
116,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
117,{'prt_ooo_threshold': 17},0.6867607829423665,[0.001]
118,{'prt_ooo_threshold': 31},0.7611110444453804,[0.001]
119,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
120,{'prt_ooo_threshold': 22},0.7263218459614942,[0.001]
121,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
122,{'prt_ooo_threshold': 19},0.7137172843995031,[0.001]
123,{'prt_ooo_threshold': 53},0.7425313541795128,[0.001]
124,{'prt_ooo_threshold': 49},0.788964969581654,[0.0]
125,{'prt_ooo_threshold': 60},0.7545267180860872,[0.0]
126,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
127,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
128,{'prt_ooo_threshold': 92},0.7988472365584042,[0.0]
129,{'prt_ooo_threshold': 43},0.7595302109463845,[0.001]
130,{'prt_ooo_threshold': 3},0.7396909920777767,[0.001]
131,{'prt_ooo_threshold': 112},0.7105828314407662,[0.001]
132,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
133,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
134,{'prt_ooo_threshold': 45},0.7696666483343212,[0.001]
135,{'prt_ooo_threshold': 22},0.7263218459614942,[0.001]
136,{'prt_ooo_threshold': 91},0.7988155652967593,[0.0]
137,{'prt_ooo_threshold': 44},0.7140655638281173,[0.001]
138,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
139,{'prt_ooo_threshold': 67},0.799045240055236,[0.0]
140,{'prt_ooo_threshold': 23},0.7583184653277882,[0.001]
141,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
142,{'prt_ooo_threshold': 19},0.7137172843995031,[0.001]
143,{'prt_ooo_threshold': 73},0.7988309601615694,[0.0]
144,{'prt_ooo_threshold': 27},0.7264892145990469,[0.001]
145,{'prt_ooo_threshold': 13},0.782166109060321,[0.001]
146,{'prt_ooo_threshold': 46},0.7697816908148848,[0.0]
147,{'prt_ooo_threshold': 36},0.7399752636250937,[0.001]
148,{'prt_ooo_threshold': 100},0.7991309986153886,[0.0]
149,{'prt_ooo_threshold': 14},0.8166153494582402,[0.0]
150,{'prt_ooo_threshold': 95},0.7929668532686631,[0.0]
151,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
152,{'prt_ooo_threshold': 89},0.7992098784266561,[0.0]
153,{'prt_ooo_threshold': 4},0.7537258150959274,[0.001]
154,{'prt_ooo_threshold': 104},0.7993069753480581,[0.0]
155,{'prt_ooo_threshold': 8},0.7695895633343093,[0.001]
156,{'prt_ooo_threshold': 34},0.747126276995482,[0.001]
157,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
158,{'prt_ooo_threshold': 25},0.7268327020311559,[0.001]
159,{'prt_ooo_threshold': 12},0.6637971076469392,[0.001]
160,{'prt_ooo_threshold': 23},0.7583184653277882,[0.001]
161,{'prt_ooo_threshold': 118},0.7992384988686551,[0.0]
162,{'prt_ooo_threshold': 116},0.7989820880373893,[0.0]
163,{'prt_ooo_threshold': 22},0.7263218459614942,[0.001]
164,{'prt_ooo_threshold': 78},0.7987440932195199,[0.0]
165,{'prt_ooo_threshold': 4},0.7537258150959274,[0.001]
166,{'prt_ooo_threshold': 57},0.7409757827922152,[0.001]
167,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
168,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
169,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
170,{'prt_ooo_threshold': 56},0.8082408130037697,[0.0]
171,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
172,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
173,{'prt_ooo_threshold': 53},0.7425313541795128,[0.001]
174,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
175,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
176,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
177,{'prt_ooo_threshold': 60},0.7309646321192161,[0.001]
178,{'prt_ooo_threshold': 59},0.6680025613396082,[0.001]
179,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
180,{'prt_ooo_threshold': 78},0.7987440932195199,[0.0]
181,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
182,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
183,{'prt_ooo_threshold': 24},0.7468455200633838,[0.001]
184,{'prt_ooo_threshold': 80},0.7994142289294729,[0.0]
185,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
186,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
187,{'prt_ooo_threshold': 69},0.7476548893506276,[0.001]
188,{'prt_ooo_threshold': 63},0.7992814324043257,[0.0]
189,{'prt_ooo_threshold': 79},0.799292662589945,[0.0]
190,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
191,{'prt_ooo_threshold': 99},0.7994283254862,[0.0]
192,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
193,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
194,{'prt_ooo_threshold': 30},0.7465944061800595,[0.001]
195,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
196,{'prt_ooo_threshold': 35},0.7709560065527571,[0.001]
197,{'prt_ooo_threshold': 52},0.7970108668293884,[0.0]
198,{'prt_ooo_threshold': 34},0.747126276995482,[0.001]
199,{'prt_ooo_threshold': 57},0.7409757827922152,[0.001]
200,{'prt_ooo_threshold': 21},0.7284443893727834,[0.001]
201,{'prt_ooo_threshold': 97},0.7993720872395748,[0.0]
202,{'prt_ooo_threshold': 31},0.7611110444453804,[0.001]
203,{'prt_ooo_threshold': 84},0.7990182476744626,[0.0]
204,{'prt_ooo_threshold': 95},0.7929668532686631,[0.0]
205,{'prt_ooo_threshold': 120},0.7105828314407662,[0.001]
206,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
207,{'prt_ooo_threshold': 106},0.7996408688414411,[0.0]
208,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
209,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
210,{'prt_ooo_threshold': 120},0.7105828314407662,[0.001]
211,{'prt_ooo_threshold': 116},0.7989820880373893,[0.0]
212,{'prt_ooo_threshold': 74},0.6894700273106422,[0.001]
